color,freq,ratio,vid
#000000,7613,0.6195475260416666,oe01JMWrbH8
#314141,4221,0.343505859375,oe01JMWrbH8
#ffffff,233,0.018961588541666668,oe01JMWrbH8
#616163,63,0.005126953125,oe01JMWrbH8
#c2c2c2,60,0.0048828125,oe01JMWrbH8
#999a9b,32,0.0026041666666666665,oe01JMWrbH8
#0e1e1e,21,0.001708984375,oe01JMWrbH8
#2c2c2e,12,0.0009765625,oe01JMWrbH8
#493b2e,10,0.0008138020833333334,oe01JMWrbH8
#c8ab7f,8,0.0006510416666666666,oe01JMWrbH8
#a78764,6,0.00048828125,oe01JMWrbH8
#7b7c7d,6,0.00048828125,oe01JMWrbH8
#7d695c,3,0.000244140625,oe01JMWrbH8
#000000,7613,0.6195475260416666,3OxPRbj2pIQ
#314141,4221,0.343505859375,3OxPRbj2pIQ
#ffffff,233,0.018961588541666668,3OxPRbj2pIQ
#616163,63,0.005126953125,3OxPRbj2pIQ
#c2c2c2,60,0.0048828125,3OxPRbj2pIQ
#999a9b,32,0.0026041666666666665,3OxPRbj2pIQ
#0e1e1e,21,0.001708984375,3OxPRbj2pIQ
#2c2c2e,12,0.0009765625,3OxPRbj2pIQ
#493b2e,10,0.0008138020833333334,3OxPRbj2pIQ
#c8ab7f,8,0.0006510416666666666,3OxPRbj2pIQ
#a78764,6,0.00048828125,3OxPRbj2pIQ
#7b7c7d,6,0.00048828125,3OxPRbj2pIQ
#7d695c,3,0.000244140625,3OxPRbj2pIQ
#2d3a40,4427,0.3602701822916667,sGJfAfGcp7c
#000000,3101,0.2523600260416667,sGJfAfGcp7c
#e6e9ee,2896,0.23567708333333334,sGJfAfGcp7c
#afb8be,1055,0.08585611979166667,sGJfAfGcp7c
#75858d,441,0.035888671875,sGJfAfGcp7c
#3d5764,135,0.010986328125,sGJfAfGcp7c
#342e2c,131,0.010660807291666666,sGJfAfGcp7c
#543c3a,25,0.0020345052083333335,sGJfAfGcp7c
#6a99a3,15,0.001220703125,sGJfAfGcp7c
#565552,15,0.001220703125,sGJfAfGcp7c
#85554c,12,0.0009765625,sGJfAfGcp7c
#c7e2e4,10,0.0008138020833333334,sGJfAfGcp7c
#a59c90,8,0.0006510416666666666,sGJfAfGcp7c
#4c7582,8,0.0006510416666666666,sGJfAfGcp7c
#747179,3,0.000244140625,sGJfAfGcp7c
#4a645f,2,0.00016276041666666666,sGJfAfGcp7c
#91bdbb,2,0.00016276041666666666,sGJfAfGcp7c
#a08780,1,8.138020833333333e-05,sGJfAfGcp7c
#011e22,1,8.138020833333333e-05,sGJfAfGcp7c
#2d3a40,4427,0.3602701822916667,SG1HV7uIeXg
#000000,3101,0.2523600260416667,SG1HV7uIeXg
#e6e9ee,2896,0.23567708333333334,SG1HV7uIeXg
#afb8be,1055,0.08585611979166667,SG1HV7uIeXg
#75858d,441,0.035888671875,SG1HV7uIeXg
#3d5764,135,0.010986328125,SG1HV7uIeXg
#342e2c,131,0.010660807291666666,SG1HV7uIeXg
#543c3a,25,0.0020345052083333335,SG1HV7uIeXg
#6a99a3,15,0.001220703125,SG1HV7uIeXg
#565552,15,0.001220703125,SG1HV7uIeXg
#85554c,12,0.0009765625,SG1HV7uIeXg
#c7e2e4,10,0.0008138020833333334,SG1HV7uIeXg
#a59c90,8,0.0006510416666666666,SG1HV7uIeXg
#4c7582,8,0.0006510416666666666,SG1HV7uIeXg
#747179,3,0.000244140625,SG1HV7uIeXg
#4a645f,2,0.00016276041666666666,SG1HV7uIeXg
#91bdbb,2,0.00016276041666666666,SG1HV7uIeXg
#a08780,1,8.138020833333333e-05,SG1HV7uIeXg
#011e22,1,8.138020833333333e-05,SG1HV7uIeXg
#2d3a40,4427,0.3602701822916667,mutqu3kj0LA
#000000,3101,0.2523600260416667,mutqu3kj0LA
#e6e9ee,2896,0.23567708333333334,mutqu3kj0LA
#afb8be,1055,0.08585611979166667,mutqu3kj0LA
#75858d,441,0.035888671875,mutqu3kj0LA
#3d5764,135,0.010986328125,mutqu3kj0LA
#342e2c,131,0.010660807291666666,mutqu3kj0LA
#543c3a,25,0.0020345052083333335,mutqu3kj0LA
#6a99a3,15,0.001220703125,mutqu3kj0LA
#565552,15,0.001220703125,mutqu3kj0LA
#85554c,12,0.0009765625,mutqu3kj0LA
#c7e2e4,10,0.0008138020833333334,mutqu3kj0LA
#a59c90,8,0.0006510416666666666,mutqu3kj0LA
#4c7582,8,0.0006510416666666666,mutqu3kj0LA
#747179,3,0.000244140625,mutqu3kj0LA
#4a645f,2,0.00016276041666666666,mutqu3kj0LA
#91bdbb,2,0.00016276041666666666,mutqu3kj0LA
#a08780,1,8.138020833333333e-05,mutqu3kj0LA
#011e22,1,8.138020833333333e-05,mutqu3kj0LA
#2d3a40,4427,0.3602701822916667,_2etUuScYgE
#000000,3101,0.2523600260416667,_2etUuScYgE
#e6e9ee,2896,0.23567708333333334,_2etUuScYgE
#afb8be,1055,0.08585611979166667,_2etUuScYgE
#75858d,441,0.035888671875,_2etUuScYgE
#3d5764,135,0.010986328125,_2etUuScYgE
#342e2c,131,0.010660807291666666,_2etUuScYgE
#543c3a,25,0.0020345052083333335,_2etUuScYgE
#6a99a3,15,0.001220703125,_2etUuScYgE
#565552,15,0.001220703125,_2etUuScYgE
#85554c,12,0.0009765625,_2etUuScYgE
#c7e2e4,10,0.0008138020833333334,_2etUuScYgE
#a59c90,8,0.0006510416666666666,_2etUuScYgE
#4c7582,8,0.0006510416666666666,_2etUuScYgE
#747179,3,0.000244140625,_2etUuScYgE
#4a645f,2,0.00016276041666666666,_2etUuScYgE
#91bdbb,2,0.00016276041666666666,_2etUuScYgE
#a08780,1,8.138020833333333e-05,_2etUuScYgE
#011e22,1,8.138020833333333e-05,_2etUuScYgE
#000000,7613,0.6195475260416666,HH-0_e0iPMY
#314141,4221,0.343505859375,HH-0_e0iPMY
#ffffff,233,0.018961588541666668,HH-0_e0iPMY
#616163,63,0.005126953125,HH-0_e0iPMY
#c2c2c2,60,0.0048828125,HH-0_e0iPMY
#999a9b,32,0.0026041666666666665,HH-0_e0iPMY
#0e1e1e,21,0.001708984375,HH-0_e0iPMY
#2c2c2e,12,0.0009765625,HH-0_e0iPMY
#493b2e,10,0.0008138020833333334,HH-0_e0iPMY
#c8ab7f,8,0.0006510416666666666,HH-0_e0iPMY
#a78764,6,0.00048828125,HH-0_e0iPMY
#7b7c7d,6,0.00048828125,HH-0_e0iPMY
#7d695c,3,0.000244140625,HH-0_e0iPMY
#404040,4426,0.3601888020833333,nPEmFApFn9o
#000000,3072,0.25,nPEmFApFn9o
#ece3da,2214,0.18017578125,nPEmFApFn9o
#c1bfc2,837,0.068115234375,nPEmFApFn9o
#878c95,332,0.027018229166666668,nPEmFApFn9o
#2c454c,282,0.02294921875,nPEmFApFn9o
#366680,263,0.021402994791666668,nPEmFApFn9o
#6b6667,231,0.018798828125,nPEmFApFn9o
#c7aea5,167,0.013590494791666666,nPEmFApFn9o
#3d8ba2,140,0.011393229166666666,nPEmFApFn9o
#2a3b55,83,0.006754557291666667,nPEmFApFn9o
#968283,82,0.006673177083333333,nPEmFApFn9o
#515b74,56,0.004557291666666667,nPEmFApFn9o
#3eabb6,30,0.00244140625,nPEmFApFn9o
#09252e,22,0.0017903645833333333,nPEmFApFn9o
